CT,Boro,Turnover
001800,Kings,43.6
002000,Kings,4.2
002100,Kings,26.5
002200,Kings,24.3
002300,Kings,9.7
002500,Kings,5.2
002700,Kings,23.0
002901,Kings,11.2
002902,Kings,4.0
003000,Kings,10.2
003100,Kings,25.6
003200,Kings,0.0
003300,Kings,16.8
003400,Kings,8.8
003500,Kings,7.0
003600,Kings,6.3
003700,Kings,0.0
003800,Kings,7.5
003900,Kings,15.3
004000,Kings,5.8
004100,Kings,10.8
004200,Kings,6.7
004300,Kings,23.2
004500,Kings,12.8
004600,Kings,5.3
004700,Kings,8.1
004900,Kings,24.8
005000,Kings,7.8
005100,Kings,17.8
005201,Kings,10.2
005202,Kings,3.9
005400,Kings,12.9
005500,Kings,40.6
005601,Kings,13.3
005602,Kings,8.2
005700,Kings,16.8
005800,Kings,12.8
005900,Kings,4.5
006000,Kings,18.9
006200,Kings,12.9
006300,Kings,19.0
006400,Kings,6.1
006500,Kings,18.1
006600,Kings,9.7
006700,Kings,17.5
006800,Kings,11.7
006900,Kings,21.0
007000,Kings,11.6
007100,Kings,3.1
007200,Kings,11.4
007400,Kings,16.1
007500,Kings,7.1
007600,Kings,4.7
007700,Kings,15.0
007800,Kings,8.1
008000,Kings,9.5
008200,Kings,7.6
008400,Kings,6.1
008500,Kings,7.7
008600,Kings,0.0
008800,Kings,13.4
009000,Kings,8.0
009200,Kings,13.4
009400,Kings,11.9
009600,Kings,5.6
009800,Kings,16.7
010000,Kings,11.7
010100,Kings,13.7
010200,Kings,9.0
010400,Kings,15.4
010600,Kings,13.2
010800,Kings,13.4
011000,Kings,25.6
011200,Kings,9.7
011400,Kings,14.5
011600,Kings,6.9
011700,Kings,15.8
011800,Kings,11.0
012000,Kings,3.7
012100,Kings,10.8
012200,Kings,7.8
012300,Kings,10.4
012400,Kings,11.5
012500,Kings,10.8
012700,Kings,10.4
012801,Kings,7.8
012802,Kings,0.0
012901,Kings,21.3
012902,Kings,19.9
013000,Kings,7.3
013100,Kings,14.7
013200,Kings,11.8
013300,Kings,14.4
013400,Kings,4.7
013500,Kings,15.3
013600,Kings,7.0
013700,Kings,12.5
013800,Kings,13.6
013900,Kings,13.2
014000,Kings,4.6
014100,Kings,22.8
014200,Kings,8.0
014300,Kings,12.9
014400,Kings,1.2
014500,Kings,10.0
014600,Kings,12.5
014700,Kings,14.5
014800,Kings,5.7
014900,Kings,19.1
015000,Kings,1.9
015100,Kings,12.1
015300,Kings,22.5
015400,Kings,0.0
015500,Kings,11.4
015600,Kings,4.4
015700,Kings,12.2
015800,Kings,7.3
015900,Kings,15.8
016000,Kings,7.3
016100,Kings,21.3
016200,Kings,11.1
016300,Kings,21.0
016400,Kings,49.7
016500,Kings,13.3
016700,Kings,11.1
016800,Kings,7.2
016900,Kings,10.9
017000,Kings,6.1
017100,Kings,8.5
017200,Kings,8.5
017300,Kings,8.5
017400,Kings,4.6
017500,Kings,0.0
017600,Kings,3.9
017700,Kings,0.0
017800,Kings,13.8
017900,Kings,17.9
018000,Kings,6.1
018100,Kings,14.7
018200,Kings,16.8
018300,Kings,23.0
018400,Kings,0.8
018501,Kings,5.7
018502,Kings,3.3
018600,Kings,6.7
018700,Kings,4.2
018800,Kings,0.4
018900,Kings,24.0
019000,Kings,8.7
019100,Kings,5.7
019200,Kings,4.9
019300,Kings,19.3
019400,Kings,14.0
019500,Kings,7.1
019600,Kings,17.1
019700,Kings,10.8
019800,Kings,1.2
019900,Kings,13.4
020000,Kings,11.3
020100,Kings,13.7
020200,Kings,3.7
020300,Kings,27.9
020400,Kings,0.0
020500,Kings,19.5
020600,Kings,1.9
020700,Kings,11.6
020800,Kings,1.5
021000,Kings,10.5
021200,Kings,8.0
021300,Kings,11.1
021400,Kings,8.2
021500,Kings,12.2
021600,Kings,11.2
021700,Kings,15.5
021800,Kings,5.0
021900,Kings,8.0
022000,Kings,7.1
022100,Kings,18.9
022200,Kings,4.5
022300,Kings,26.3
022400,Kings,7.9
022500,Kings,8.4
022600,Kings,5.6
022700,Kings,19.7
022800,Kings,2.0
022900,Kings,20.9
023000,Kings,2.8
023100,Kings,7.7
023200,Kings,2.4
023300,Kings,11.7
023400,Kings,10.9
023500,Kings,14.0
023600,Kings,4.9
023700,Kings,4.1
023800,Kings,10.3
023900,Kings,3.2
024000,Kings,3.1
024100,Kings,16.4
024200,Kings,3.4
024300,Kings,7.1
024400,Kings,6.8
024500,Kings,8.9
024600,Kings,6.2
024700,Kings,12.4
024800,Kings,5.1
024900,Kings,10.2
